id,license_number,primary_owner,office_of_application,business_name,business_address,county,census_tract,licensee,license_type_status,status_date,original_issue_date,expiration_date,duplicate,conditions,operating_restrictions,disciplinary_action,disciplinary_history,holds,escrows,from_license_number,transferred_on,to_license_number,transferred_on2,place_name,website,types,business_status,fee_code,master,transfers,business_name_secondary,business_address_secondary,phone_number,license_type,primary_name,dba_name,prem_addr_1,prem_addr_2,prem_city,prem_state,prem_zip,yelp_link,yelp_name,yelp_phone,yelp_website,yelp_rating,output_lincense_file_status,yelp_file_status
138,258498,BERGER  CHERYL,22 - CONCORD,CLARION SUITES LAKE MERRITT HOTEL,1800 MADISON ST   OAKLAND  CA  94612,ALAMEDA,4034.01,BERGER  RANDALL| BERGER  CHERYL,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,The Lake Merritt Apartments,http://www.thelakemerrittapts.com/,  point_of_interest |   establishment,OPERATIONAL,P40,Y,1,CLARION SUITES LAKE MERRITT HOTEL,1800 MADISON ST   OAKLAND  CA  94612,+1 510-603-5733,47 - ON-SALE GENERAL EATING PLACE,BERGER  CHERYL,CLARION SUITES LAKE MERRITT HOTEL,1800 MADISON ST,,OAKLAND,CA,94612,,,,,,True,True
139,395187,CORRENTI BOYS INC,24 - SAN FRANCISCO,TRATTORIA CONTADINA RESTAURANT,1800 MASON ST   SAN FRANCISCO  CA  94133,SAN FRANCISCO,107.02,CORRENTI BOYS INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    29-DEC-2020,No Escrow found,47-404307,,N/A,,Trattoria Contadina,http://www.trattoriacontadina.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,TRATTORIA CONTADINA RESTAURANT,1800 MASON ST   SAN FRANCISCO  CA  94133,+1 415-982-5728,47 - ON-SALE GENERAL EATING PLACE,CORRENTI BOYS INC,TRATTORIA CONTADINA RESTAURANT,1800 MASON ST,,SAN FRANCISCO,CA,94133-2711,https://www.yelp.nl/biz/trattoria-contadina-san-francisco?osq=TRATTORIA+CONTADINA+RESTAURANT,Trattoria Contadina,(415) 982-5728,https://trattoriacontadina.com,4.2,True,True
140,330059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
141,456082,PLATA ENTERTAINMENT LLC,04 - LA/METRO,BACKROOM THE,8788 W SUNSET BLVD   WEST HOLLYWOOD  CA  90069,LOS ANGELES,7005.02,PLATA ENTERTAINMENT LLC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-433603,,N/A,,The Backroom,https://statesocialhouse.com/,  bar |   restaurant |   food |   point_of_interest |   store |   establishment,OPERATIONAL,P20,Y,1,BACKROOM THE,8788 W SUNSET BLVD   WEST HOLLYWOOD  CA  90069,+1 310-657-8100,47 - ON-SALE GENERAL EATING PLACE,PLATA ENTERTAINMENT LLC,BACKROOM THE,8788 W SUNSET BLVD,,WEST HOLLYWOOD,CA,90069-2206,https://www.yelp.nl/biz/state-social-house-west-hollywood-2?osq=BACKROOM+THE,State Social House,(310) 657-8100,https://statesocialhouse.com,3.6,True,True
142,351053,VARUJ LLC,11 - SANTA ANA,BAYSIDE RESTAURANT,900 BAYSIDE DR   NEWPORT BEACH  CA  92660,ORANGE,630.04,VARUJ LLC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-339223,,N/A,,Bayside Restaurant,https://www.baysiderestaurant.com/,  restaurant |   bar |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BAYSIDE RESTAURANT,900 BAYSIDE DR   NEWPORT BEACH  CA  92660,+1 949-721-1222,47 - ON-SALE GENERAL EATING PLACE,VARUJ LLC,BAYSIDE RESTAURANT,900 BAYSIDE DR,,NEWPORT BEACH,CA,92660,https://www.yelp.nl/biz/bayside-restaurant-newport-beach-2?osq=BAYSIDE+RESTAURANT,Bayside Restaurant,(949) 721-1222,https://baysiderestaurant.com,3.7,True,True
143,247316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
144,45344,MI CASA COSTA MESA INC,11 - SANTA ANA,MI CASA MEXICAN RESTAURANT,296 E 17TH ST   COSTA MESA  CA  92627,ORANGE,633.01,MI CASA COSTA MESA INC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Mi Casa,https://www.micasa1.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,MI CASA MEXICAN RESTAURANT,296 E 17TH ST   COSTA MESA  CA  92627,+1 949-645-7626,47 - ON-SALE GENERAL EATING PLACE,MI CASA COSTA MESA INC,MI CASA MEXICAN RESTAURANT,296 E 17TH ST,,COSTA MESA,CA,92627,https://www.yelp.nl/biz/playa-mesa-costa-mesa,Playa Mesa,(949) 287-5292,https://playamesa.com,4.4,True,True
145,428062,ALLEN  HYE KYUNG,22 - CONCORD,YOSHINO SUSHI RESTAURANT,296 HEGENBERGER RD   OAKLAND  CA  94621,ALAMEDA,4090.00,KIM  JOSEPH| ALLEN  HYE KYUNG,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    FRANCHISE TAX HOLD                    Hold Date:                    28-NOV-2016,No Escrow found,N/A,,N/A,,Yoshino Sushi,,  night_club |   bar |   restaurant |   food |   point_of_interest |   establishment,CLOSED_TEMPORARILY,P40,Y,1,YOSHINO SUSHI RESTAURANT,296 HEGENBERGER RD   OAKLAND  CA  94621,+1 510-430-2552,47 - ON-SALE GENERAL EATING PLACE,ALLEN  HYE KYUNG,YOSHINO SUSHI RESTAURANT,296 HEGENBERGER RD,,OAKLAND,CA,94621,https://www.yelp.nl/biz/yoshino-sushi-oakland?osq=YOSHINO+SUSHI+RESTAURANT,Yoshino Sushi,(510) 430-2552,not url,3,True,True
146,319982,PEEL  F GERALD,12 - VENTURA,CROWN & ANCHOR,2889-91 E THOUSAND OAKS BLVD   THOUSAND OAKS  CA  91362,VENTURA,71.00,PEEL  MARGARET W| PEEL  F GERALD,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        00049513        Section:25658(a)Section:24200(a)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        POIC/Fine:            3000,No Active Holds found,No Escrow found,47-292707,,N/A,,2889 E Thousand Oaks Blvd,,  street_address,,P40,Y,1,CROWN & ANCHOR,2889-91 E THOUSAND OAKS BLVD   THOUSAND OAKS  CA  91362,,47 - ON-SALE GENERAL EATING PLACE,PEEL  F GERALD,CROWN & ANCHOR,2889-91 E THOUSAND OAKS BLVD,,THOUSAND OAKS,CA,91362,,,,,,True,True
147,481256,CASA GRANDE EVENTS LLC,04 - LA/METRO,PARAMOUNT THE,2706-08 CESAR E CHAVEZ AVE   LOS ANGELES  CA  90033,LOS ANGELES,2042.00,CASA GRANDE EVENTS LLC,ACTIVE,,,,,INTERCOUNTY PRIORITIES  NO SALE 5 YEARS,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    17-NOV-2021,No Escrow found,47-430868,,N/A,,The Paramount,http://www.paramountla.com/,  night_club |   bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,PARAMOUNT THE,2706-08 CESAR E CHAVEZ AVE   LOS ANGELES  CA  90033,+1 323-262-9300,47 - ON-SALE GENERAL EATING PLACE,CASA GRANDE EVENTS LLC,PARAMOUNT THE,2706-08 CESAR E CHAVEZ AVE,,LOS ANGELES,CA,90033-3106,https://www.yelp.nl/biz/the-paramount-los-angeles?osq=PARAMOUNT+THE,The Paramount,(323) 262-9300,https://paramountla.com,4.1,True,True
148,428045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
149,437887,CLAREMONT STAR L-PSHIP,02 - MONROVIA,DOUBLE TREE HOTEL OF CLAREMONT,415-555 W FOOTHILL BLVD   CLAREMONT  CA  91711,LOS ANGELES,4018.02,CLAREMONT STAR L-PSHIP,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        09071504        Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        POIC/Fine:            3000,No Active Holds found,No Escrow found,48-392344,,N/A,,DoubleTree by Hilton Hotel Claremont,https://www.hilton.com/en/hotels/ontcldt-doubletree-claremont/?SEO_id=GMB-AMER-DT-ONTCLDT&y_source=1_MTM3MjY3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,  lodging |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,DOUBLE TREE HOTEL OF CLAREMONT,415-555 W FOOTHILL BLVD   CLAREMONT  CA  91711,+1 909-626-2411,47 - ON-SALE GENERAL EATING PLACE,CLAREMONT STAR L-PSHIP,DOUBLE TREE HOTEL OF CLAREMONT,415-555 W FOOTHILL BLVD,,CLAREMONT,CA,91711-2766,https://www.yelp.nl/biz/doubletree-by-hilton-hotel-claremont-claremont?osq=DOUBLE+TREE+HOTEL+OF+CLAREMONT,DoubleTree by Hilton Hotel Claremont,(909) 626-2411,https://hilton.com,3.4,True,True
150,352352,NORTH END ENTERTAINMENT LLC,03 - LB/LAKEWOOD,NORTH END BAR AND GRILL,2626 HERMOSA AVE   HERMOSA BEACH  CA  90254,LOS ANGELES,6210.05,NORTH END ENTERTAINMENT LLC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        08068861        Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        POIC/Fine:            3000,No Active Holds found,No Escrow found,47-330339,,N/A,,North End Bar & Grill,http://www.northendbar.com/,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P0,Y,1,NORTH END BAR AND GRILL,2626 HERMOSA AVE   HERMOSA BEACH  CA  90254,+1 310-379-5379,47 - ON-SALE GENERAL EATING PLACE,NORTH END ENTERTAINMENT LLC,NORTH END BAR AND GRILL,2626 HERMOSA AVE,,HERMOSA BEACH,CA,90254,https://www.yelp.nl/biz/north-end-bar-and-grill-hermosa-beach?osq=NORTH+END+BAR+AND+GRILL,North End Bar & Grill,(310) 379-5379,https://northendbar.com,4,True,True
151,444199,KAMBO  JAGDEEP SINGH,10 - SAN DIEGO,ROYAL INDIA,329 MARKET ST   SAN DIEGO  CA  92101,SAN DIEGO,54.03,KAMBO  JAGDEEP SINGH| KAMBO  SANDEEP SINGH,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-399498,,N/A,,Royal India - San Diego,http://www.royalindia.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ROYAL INDIA,329 MARKET ST   SAN DIEGO  CA  92101,+1 619-269-9999,47 - ON-SALE GENERAL EATING PLACE,KAMBO  JAGDEEP SINGH,ROYAL INDIA,329 MARKET ST,,SAN DIEGO,CA,92101,,,,,,True,True
152,370628,STERLING  LANCE,05 - VAN NUYS,CANYON CLUB,28912 ROADSIDE DR   AGOURA HILLS  CA  91301,LOS ANGELES,8003.36,STERLING  LANCE,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    FRANCHISE TAX HOLD                    Hold Date:                    18-DEC-2017,No Escrow found,47-304417,,47-588313  47-588315,,The Canyon - Agoura Hills,http://wheremusicmeetsthesoul.com/canyon-agoura-hills/,  night_club |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P0,Y,1,CANYON CLUB,28912 ROADSIDE DR   AGOURA HILLS  CA  91301,+1 888-645-5006,47 - ON-SALE GENERAL EATING PLACE,STERLING  LANCE,CANYON CLUB,28912 ROADSIDE DR,,AGOURA HILLS,CA,91301-3304,https://www.yelp.nl/biz/the-canyon-agoura-hills-agoura-hills?osq=CANYON+CLUB,The Canyon Agoura Hills,(888) 645-5006,https://wheremusicmeetsthesoul.com,2.5,True,True
153,329427,ANDERSON  ALMA L,22 - CONCORD,OAK DOOR INC.,3062 PACIFIC AVE   LIVERMORE  CA  94550,ALAMEDA,4515.01,ANDERSON  ALMA L,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        16083892        Section:25658(A)            Proceeding Status:            CLOSED                    Decision:            ALL STAYED                        Suspension Days:            10                        Stayed Days:            10,No Active Holds found,No Escrow found,48-260498,,N/A,,The Oak Door,https://www.yellowpages.com/livermore-ca/mip/the-oak-door-4526701,  bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,OAK DOOR INC.,3062 PACIFIC AVE   LIVERMORE  CA  94550,,48 - ON-SALE GENERAL PUBLIC PREMISES,ANDERSON  ALMA L,OAK DOOR INC.,3062 PACIFIC AVE,,LIVERMORE,CA,94550,,,,,,True,True
154,470028,CARVER DEAN LLC,25 - SAN JOSE,ORCHID ROOM,678 LAUREL ST   SAN CARLOS  CA  94070,SAN MATEO,6092.02,CARVER DEAN LLC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-392118,,N/A,,Orchid Room,https://www.facebook.com/pages/Orchid-Room/532029286959670,  bar |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,ORCHID ROOM,678 LAUREL ST   SAN CARLOS  CA  94070,+1 650-592-7696,48 - ON-SALE GENERAL PUBLIC PREMISES,CARVER DEAN LLC,ORCHID ROOM,678 LAUREL ST,,SAN CARLOS,CA,94070-3112,https://www.yelp.nl/biz/orchid-room-san-carlos?osq=ORCHID+ROOM,Orchid Room,(650) 592-7696,not url,3.6,True,True
155,303904,LA CAPILLA INC,11 - SANTA ANA,LA CAPILLA 4,807 E ADAMS AVE   HUNTINGTON BEACH  CA  92648,ORANGE,993.05,LA CAPILLA INC,ACTIVE,,,,,CODE 8 - SELF-INCORPORATION - HISTORICAL VALUE,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        01050284        Section:25658(a)Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            10                        POIC/Fine:            2249.88,No Active Holds found,No Escrow found,47-262239,,N/A,,La Capilla Mexican Restaurant,http://www.lacapillacantina.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,LA CAPILLA 4,807 E ADAMS AVE   HUNTINGTON BEACH  CA  92648,+1 714-374-0342,47 - ON-SALE GENERAL EATING PLACE,LA CAPILLA INC,LA CAPILLA 4,807 E ADAMS AVE,,HUNTINGTON BEACH,CA,92648,https://www.yelp.nl/biz/la-capilla-mexican-restaurant-huntington-beach?osq=LA+CAPILLA+4,La Capilla Mexican Restaurant,(714) 374-0342,not url,3.4,True,True
156,86153,LAW  TAT C,10 - SAN DIEGO,MANDARIN HOUSE OF LA JOLLA INC.,6765 LA JOLLA BLVD   LA JOLLA  CA  92037,SAN DIEGO,81.01,LAW  TAT C,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,N/A,,N/A,,Mandarin House,http://mandarinhouselj.com/,  meal_delivery |   bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,MANDARIN HOUSE OF LA JOLLA INC.,6765 LA JOLLA BLVD   LA JOLLA  CA  92037,+1 858-454-2555,47 - ON-SALE GENERAL EATING PLACE,LAW  TAT C,MANDARIN HOUSE OF LA JOLLA INC.,6765 LA JOLLA BLVD,,LA JOLLA,CA,92037,,,,,,True,True
157,437166,PHOENIX IRISH BAR LLC THE,24 - SAN FRANCISCO,PHOENIX IRISH BAR AND RESTAURANT,811 VALENCIA ST   SAN FRANCISCO  CA  94110,SAN FRANCISCO,208.01,PHOENIX IRISH BAR LLC THE,ACTIVE,,,,,CODE 8 - SELF-INCORPORATION - HISTORICAL VALUE,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    03-SEP-2020,No Escrow found,47-415022,,N/A,,The Phoenix Irish Bar & Restaurant,,  bar |   restaurant |   food |   point_of_interest |   establishment,CLOSED_PERMANENTLY,P40,Y,1,PHOENIX IRISH BAR AND RESTAURANT,811 VALENCIA ST   SAN FRANCISCO  CA  94110,+1 415-695-1811,47 - ON-SALE GENERAL EATING PLACE,PHOENIX IRISH BAR LLC THE,PHOENIX IRISH BAR AND RESTAURANT,811 VALENCIA ST,,SAN FRANCISCO,CA,94110,,,,,,True,True
158,446781,SOLIS  ROBERT JR,27 - SANTA ROSA,PANCHAS OF YOUNTVILLE,6764 WASHINGTON ST   YOUNTVILLE  CA  94599,NAPA,2012.00,SOLIS  ROBERT JR,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,48-285379,,48-660624,,Pancha's Of Yountville,,  bar |   point_of_interest |   establishment,CLOSED_TEMPORARILY,P0,Y,1,PANCHAS OF YOUNTVILLE,6764 WASHINGTON ST   YOUNTVILLE  CA  94599,+1 707-944-2125,48 - ON-SALE GENERAL PUBLIC PREMISES,SOLIS  ROBERT JR,PANCHAS OF YOUNTVILLE,6764 WASHINGTON ST,,YOUNTVILLE,CA,94599-1304,,,,,,True,True
159,325737,PALM CANYON SPLASHS INC,08 - PALM DESERT,PALM CANYON SPLASHS,2800 S PALM CANYON DR   PALM SPRINGS  CA  92264,RIVERSIDE,9405.00,PALM CANYON SPLASHS INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        08067935        Section:25658 (a)Section:CCR 64.2 (b)(1)Section:24200 (a&b)            Proceeding Status:            CLOSED                    Decision:            REVOKED                        Suspension Days:            30                        Stayed Days:            730                        Suspension Start Date:            02-OCT-2008                        Suspension End Date:            01-NOV-2006,No Active Holds found,No Escrow found,47-307064,,N/A,,Hilton Vacation Club Palm Canyon Palm Springs,https://www.hilton.com/en/hotels/pspspgv-hilton-vacation-club-palm-canyon-palm-springs/?SEO_id=GMB-AMER-HH-PSPSPGV&y_source=1_MTA1MzUyOTUzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,  lodging |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,PALM CANYON SPLASHS,2800 S PALM CANYON DR   PALM SPRINGS  CA  92264,+1 760-866-1800,47 - ON-SALE GENERAL EATING PLACE,PALM CANYON SPLASHS INC,PALM CANYON SPLASHS,2800 S PALM CANYON DR,,PALM SPRINGS,CA,92264,,,,,,True,True
160,395288,ARNOLDIS CAFE LLC,12 - VENTURA,ARNOLDIS CAFE,600 OLIVE ST   SANTA BARBARA  CA  93101,SANTA BARBARA,15.00,ARNOLDIS CAFE LLC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,Hold Type:                    FRANCHISE TAX HOLD                    Hold Date:                    07-AUG-2024                                        Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    05-MAR-2020,No Escrow found,47-319607,,47-661527,,Arnoldi's Cafe,http://arnoldis.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ARNOLDIS CAFE,600 OLIVE ST   SANTA BARBARA  CA  93101,+1 805-962-5394,47 - ON-SALE GENERAL EATING PLACE,ARNOLDIS CAFE LLC,ARNOLDIS CAFE,600 OLIVE ST,,SANTA BARBARA,CA,93101-1627,https://www.yelp.nl/biz/arnoldi-s-cafe-santa-barbara?osq=ARNOLDIS+CAFE,Arnoldi�s Cafe,(805) 962-5394,https://arnoldis.com,4,True,True
161,455174,NINE O ONE LLC,04 - LA/METRO,901 BAR & GRILL,2902 S FIGUEROA ST   LOS ANGELES  CA  90007,LOS ANGELES,2247.02,NINE O ONE LLC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-354868,,N/A,,901 Bar and Grill,,  bar |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,901 BAR & GRILL,2902 S FIGUEROA ST   LOS ANGELES  CA  90007,+1 213-745-7900,47 - ON-SALE GENERAL EATING PLACE,NINE O ONE LLC,901 BAR & GRILL,2902 S FIGUEROA ST,,LOS ANGELES,CA,90007-3709,https://www.yelp.nl/biz/chick-fil-a-los-angeles-23,Chick-fil-A,(213) 624-2001,https://chick-fil-a.com,3,True,True
162,351732,OCEANSIDE BAJA LOBSTER GROUP INC,09 - SAN MARCOS,ROCKIN BAJA LOBSTER,258 HARBOR DR S   OCEANSIDE  CA  92054,SAN DIEGO,183.01,OCEANSIDE BAJA LOBSTER GROUP INC,ACTIVE,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-321063,,N/A,,Rockin' Baja Lobster - Oceanside,http://rockinbaja.com/oceanside-harbor,  meal_delivery |   restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,ROCKIN BAJA LOBSTER,258 HARBOR DR S   OCEANSIDE  CA  92054,+1 760-967-6199,47 - ON-SALE GENERAL EATING PLACE,OCEANSIDE BAJA LOBSTER GROUP INC,ROCKIN BAJA LOBSTER,258 HARBOR DR S,,OCEANSIDE,CA,92054,https://www.yelp.nl/biz/rockin-baja-lobster-oceanside-3?osq=ROCKIN+BAJA+LOBSTER,Rockin' Baja Lobster,(760) 967-6199,https://rockinbaja.com,3.8,True,True
163,476232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
164,197969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
165,282683,QUEENSWORTH LTD INC,11 - SANTA ANA,SWALLOWS INN,31786 CAMINO CAPISTRANO   SAN JUAN CAPISTRANO  CA  92675,ORANGE,423.12,QUEENSWORTH LTD INC,ACTIVE,,,,,N/A,"Signs shall be posted at all exits of the patio  as defined on the ABC-257  dated 05-03-23  stating  �NO ALCOHOLIC BEVERAGES BEYOND THIS POINT�. Said signs shall measure no less than 7� x 11�  and shall contain lettering no less than 1"" in size. No alcoholic beverages shall be consumed on any property adjacent to the licensed premises under the control of the licensee as depicted on the ABC-257 dated 05-03-23.",No Active Disciplinary Action found,Reg. Number:        95033439        Section:23300Section:24200(a&b)            Proceeding Status:            CLOSED                    Decision:            POIC                        Suspension Days:            15                        Stayed Days:            5                        POIC/Fine:            3000,No Active Holds found,No Escrow found,N/A,,N/A,,Swallow's Inn,http://swallowsinn.com/,  bar |   point_of_interest |   establishment,OPERATIONAL,P20,Y,1,SWALLOWS INN,31786 CAMINO CAPISTRANO   SAN JUAN CAPISTRANO  CA  92675,+1 949-493-3188,48 - ON-SALE GENERAL PUBLIC PREMISES,QUEENSWORTH LTD INC,SWALLOWS INN,31786 CAMINO CAPISTRANO,,SAN JUAN CAPISTRANO,CA,92675,https://www.yelp.nl/biz/swallows-inn-san-juan-capistrano?osq=SWALLOWS+INN,Swallows Inn,(949) 493-3188,https://swallowsinn.com,4,True,True
166,47656,BRANCH OFFICE INC,03 - LB/LAKEWOOD,BRANCH OFFICE,2320 TORRANCE BLVD   TORRANCE  CA  90501,LOS ANGELES,6509.01,BRANCH OFFICE INC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,Reg. Number:        21091366        Section:110545  110560  110620Section:23402Section:25176Section:24200(A)Section:25609            Proceeding Status:            CLOSED                    Decision:            POIC                        POIC/Fine:            3000,No Active Holds found,No Escrow found,N/A,,N/A,,The Branch Office,,  bar |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BRANCH OFFICE,2320 TORRANCE BLVD   TORRANCE  CA  90501,,48 - ON-SALE GENERAL PUBLIC PREMISES,BRANCH OFFICE INC,BRANCH OFFICE,2320 TORRANCE BLVD,,TORRANCE,CA,90501,https://www.yelp.nl/biz/branch-office-torrance?osq=BRANCH+OFFICE,Branch Office,(310) 320-1440,not url,4,True,True
167,455014,RAUL CASTRO ENTERPRISES INC,21 - FRESNO,BURRITO KING,319-21 N GATEWAY DR   MADERA  CA  93637,MADERA,8.02,RAUL CASTRO ENTERPRISES INC,ACTIVE,,,,,N/A,No Operating Restrictions found,No Active Disciplinary Action found,No Disciplinary History found.,No Active Holds found,No Escrow found,47-15463,,N/A,,Burrito King,http://www.burritokingmadera.com/,  restaurant |   food |   point_of_interest |   establishment,OPERATIONAL,P40,Y,1,BURRITO KING,319-21 N GATEWAY DR   MADERA  CA  93637,+1 559-674-7596,47 - ON-SALE GENERAL EATING PLACE,RAUL CASTRO ENTERPRISES INC,BURRITO KING,319-21 N GATEWAY DR,,MADERA,CA,93637-3580,,,,,,True,True
168,295999,MARCIAL  MICHAELANGELO,03 - LB/LAKEWOOD,EL TEXATE RESTAURANT,316 PICO BLVD   SANTA MONICA  CA  90405,LOS ANGELES,7020.02,MARCIAL  MICHAELANGELO,REV PENDING,,,,,N/A,*Operating Restrictions exist. For more information  please see our Guidelines for Access to Records.,No Active Disciplinary Action found,Reg. Number:        11074967        Section:23804Section:24200(A&B)            Proceeding Status:            CLOSED                    Decision:            SUSPEND                        Suspension Days:            15                        POIC/Fine:            2000,Hold Type:                    BOARD OF EQUALIZATION HOLD                    Hold Date:                    26-MAR-2008                                        Hold Type:                    B/E COLLECTIONS SUSPENSION                    Hold Date:                    05-MAY-2022,No Escrow found,N/A,,N/A,,El Texate,http://www.eltexate.com/,  restaurant |   food |   point_of_interest |   establishment,CLOSED_PERMANENTLY,P40,Y,1,EL TEXATE RESTAURANT,316 PICO BLVD   SANTA MONICA  CA  90405,,47 - ON-SALE GENERAL EATING PLACE,MARCIAL  MICHAELANGELO,EL TEXATE RESTAURANT,316 PICO BLVD,,SANTA MONICA,CA,90405,,,,,,True,True
